Time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,
12,9815355.169470303,450804.89814636385,8800.0,79200.0,9223.842147639685,1802.939095744,68516.70256079899,64072.45756020782,118067.76832763795,14009.294822769101,113961.89074411128,13286.165649908267,118800.0,118754.75623935103,13203.324701386164,118800.0,13200.0,544332.0888068757,107716.90532025338,270704.5916214721,386173.37108407536,13200.0,118793.75564050785,117757.2314997489,14333.883094975035,14414.608753851804,118794.44050780313,114276.73569173472,13528.760990395007,118800.0,118800.0,118800.0,
13,9815355.169470303,450763.63413654367,8800.0,79200.0,9166.444056194412,1858.3253332992535,68420.69226787976,64201.70141072753,117957.24981487934,14124.401000958014,113946.56052890018,13275.191303653604,118800.0,118754.29460152461,13203.03956035153,118800.0,13200.0,547144.4763635335,104226.38085643781,255766.85132545602,400212.9237598924,13200.0,118797.53489279722,117654.69313366576,14455.04282036478,13854.588476832805,118798.64035393788,114125.87324525439,13561.629396225908,118800.0,118800.0,118800.0,
14,9815355.169470303,450714.54049270094,8800.0,79200.0,9108.885939349502,1913.846894298315,68331.32640860019,64308.226883993375,117854.45865325074,14244.246977832236,113943.99075940967,13266.355469099759,118800.0,118754.00516225985,13202.535681805075,118800.0,13200.0,549869.017429906,100870.59396060546,243358.63901424903,411799.0119873116,13200.0,118799.04708247732,117548.99192613261,14566.379008727294,13543.496183750674,118799.67109365584,114003.5501926767,13589.735705564413,118800.0,118800.0,118800.0,
15,9815355.169470303,450668.7977861659,8800.0,79200.0,9050.824540509002,1968.7125769280271,68064.71753908272,64412.97751264294,117747.38432977282,14357.454995714523,113937.66818683906,13253.578810636245,118800.0,118753.79217521902,13202.105671509222,118800.0,13200.0,552497.0825346306,97726.44144612455,233340.94679207914,421388.3809748857,13200.0,118799.49007214014,117443.39395918699,14678.637267728354,13375.869664482707,118799.91710979016,113905.41485455088,13612.085719360626,118800.0,118800.0,118800.0,
16,9815355.169470303,450613.4274391456,8800.0,79200.0,8994.039044514519,2022.86373102481,68010.8088317627,64507.286848546515,117637.18763642524,14470.34301285343,113938.86259533846,13252.823130501365,118800.0,118753.82193566413,13201.839052001802,118800.0,13200.0,554966.4313426644,94843.37510640132,225297.53196631212,429330.4630101626,13200.0,118799.78899560151,117335.440909546,14795.951083987802,13287.770304639838,118799.97853705223,113824.42749847479,13631.625367521634,118800.0,118800.0,118800.0,
17,9815355.169470303,450563.77085781324,8800.0,79200.0,8935.84707298745,2078.2904544175076,67952.83447349895,64591.12045023775,117518.67464147587,14597.341447230383,113940.69563673092,13251.385852438267,118800.0,118753.54075845708,13201.569065659864,118800.0,13200.0,557296.7233437076,92155.47809159952,218817.93123717114,435879.7997205219,13200.0,118799.9380640564,117226.04034103981,14918.497960819572,13242.398226663912,118799.9945747615,113756.41204590126,13647.91372142469,118800.0,118800.0,118800.0,
18,9815355.169470303,450522.3653291252,8800.0,79200.0,8874.919394940262,2132.652503102468,67765.48715527669,64676.290612143675,117409.09073530308,14721.081531498889,113935.58965602747,13247.899110805824,118800.0,118753.74431935925,13201.42059763435,118800.0,13200.0,559492.631579746,89732.62731439996,213456.8116213237,441486.9244317477,13200.0,118799.97350769016,117117.73608784816,15029.546851682315,13219.857485996068,118799.9986377966,113693.97527158278,13659.532105159611,118800.0,118800.0,118800.0,
19,9815355.169470303,450458.3705996579,8800.0,79200.0,8815.222979496131,2186.3374624675057,67595.43837710908,64749.90652932551,117291.89544745562,14845.220548731413,113930.98356650923,13245.370433499587,118800.0,118754.0316774038,13201.411577813831,118800.0,13200.0,561591.5301985326,87550.00862198429,209225.49252030585,446103.99832179607,13200.0,118800.0,117014.31282898899,15146.996904974862,13208.921234271354,118799.9996492754,113643.27210024351,13671.253919415127,118800.0,118800.0,118800.0,
20,9815355.169470303,450412.677604985,8800.0,79200.0,8756.269788044368,2239.5864429857547,67561.2352708891,64819.67031120727,117172.40920414582,14982.457333748349,113919.67156463266,13240.776449628902,118800.0,118754.60106110934,13201.309737717333,118800.0,13200.0,563524.080179823,85578.43416243863,205821.11054914762,449843.11824528646,13200.0,118800.0,116908.26749188844,15253.30610045463,13203.862027142772,118799.99991289557,113597.39350474981,13683.18192702704,118800.0,118800.0,118800.0,
21,9815355.169470303,450369.583776355,8800.0,79200.0,8696.31067837002,2291.964247957812,67531.60927313162,64886.07527750482,117057.3608008874,15108.877952595196,113911.55742760724,13235.374647914345,118800.0,118754.8035501218,13201.147156587105,118800.0,13200.0,565324.411911699,83840.61911511919,203095.93951559928,452873.5933157409,13200.0,118800.0,116806.54319251562,15368.169172573927,13201.611133099039,118799.99997824267,113557.85449035106,13692.766952242344,118800.0,118800.0,118800.0,
22,9815355.169470303,450324.68206754414,8800.0,79200.0,8635.195824223625,2345.825083151255,67505.56648647426,64886.27167958275,116933.32212309694,15239.432168916228,113908.86584738648,13234.899373573944,118800.0,118755.16468632601,13201.068350132477,118800.0,13200.0,566969.6799975145,82223.3132123107,201078.11004661236,455305.689117621,13200.0,118800.0,116707.97123335705,15479.668007458036,13200.64066666598,118799.99999466621,113517.0911321001,13702.273438147478,118800.0,118800.0,118800.0,
