Time,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,
24,0.06037475024867975,0.8916340827088455,0.01159334889191348,0.4000088500181206,0.40893533559178774,0.026034282886270937,0.2943681303657053,0.44355925123815393,0.32446827099837716,0.5919713709201945,13.589934627015007,1.9800000000000002,1.9797998535045154,1.979999960507042,2.6738480701130585,1.2000949515935977,0.2,0.20006595842108277,0.20000001951453653,2.6823829130236656,2.6875144713736185,
25,0.060114247008234055,0.9322751192966677,0.01491207834629426,0.40156412145137604,0.40388943072717365,0.010969274646710794,0.1245886006166437,0.48166270911516984,0.3200850723573391,0.24760385324287384,13.148541089217666,1.9800000000000002,1.9705278442524383,1.9799727512822063,3.3029522915739875,1.2155147364208618,0.2,0.20411323747827917,0.20001065886014646,2.6979732799381604,2.698557642612422,
26,0.060000503130152594,0.9578601055941596,0.02042123591798037,0.42220027410683936,0.4021230231830466,0.01000112274698225,0.10008927058247688,0.46174538777437846,0.32050732631957835,0.2000158428399924,11.823898604701196,1.9800000000000002,1.8868839960622374,1.977673286133266,3.8714342873606413,1.4439253566282513,0.2,0.2552987063132947,0.20103462753560325,2.697836959866289,2.6983499226593235,
27,0.06013461699300123,0.998153125685786,0.027640184498952575,0.5056289279134495,0.402155817489218,0.010000000000097995,0.10000000004444867,0.39793416868792625,0.3240546280041494,0.20000000000256637,10.536401803932613,1.9800000000000002,1.6301164959869925,1.9479115692912419,4.500452010626697,2.3158348925995713,0.2,0.44777443336091394,0.21712216240487126,2.689205774033133,2.6919418873449645,
28,0.06095118674954492,1.0148240080414075,0.03819240621286346,0.6393680769764121,0.41648087901976105,0.010000000000000002,0.1,0.33515537753154606,0.34738219261366615,0.20000014174536432,9.267816085901133,1.9800000000000002,1.0783308637256344,1.8375410813904611,4.940925265498449,3.5725162172729776,0.2,0.9401165093522683,0.2861200073429084,2.6519014138232335,2.662073759436444,
29,0.06439266119941534,1.0278057700006238,0.050238936970589065,0.8337483266254873,0.47005327504561417,0.010000000000000002,0.10000077393346418,0.26609562767941997,0.44049565484529396,0.20000894267806613,8.080071095765968,1.9800000000000002,0.3021371727301922,1.5335484969639839,5.537947541337701,4.71379576841498,0.2,1.710144769808391,0.5164074911342642,2.542655443800099,2.5672726908938044,
30,0.06983520112477498,1.021677755576341,0.06002812788241136,1.131504105845823,0.592497357179688,0.010000000000000002,0.10007188978530777,0.1876280739243266,0.6729192242747161,0.20039112525655642,6.956763941497949,1.9800000000000002,0.22001301001769105,0.8877333561059365,6.1609656449307115,6.178891406903611,0.2,1.798452991964353,1.106425481394712,2.3249700761234884,2.3605282218982158,
31,0.07577079113035931,1.0058365107650122,0.06352381307191221,1.4141054747695643,0.8098499052969971,0.010000000000000002,0.10132631552100892,0.11030252863605297,0.9334620146364044,0.20549711486267147,5.519389843388423,1.9800000000000002,0.22000000000000003,0.3333547002926358,6.008962533311452,7.78995094314641,0.2,1.7995398206306428,1.6721623549059617,2.0956657373008527,2.1502125337962474,
32,0.08268893667516915,0.9861793284964355,0.05948477527345426,1.4877931281714925,1.1090729675660638,0.010000000000000002,0.10995778805824524,0.1000061857993892,1.115413395711222,0.23985688903478156,2.8672325968525585,1.9800000000000002,0.22000000000000003,0.2200107775801112,5.192925507889574,9.137296738064384,0.2,1.799918215508956,1.7946739851082654,1.9128432885628235,2.0914606773339632,
33,0.09010005968278059,0.9403087125344759,0.050155687084708314,1.3257783511945151,1.3556195928148314,0.010000000000000002,0.14262018223987047,0.1000000000000008,1.3397334816878406,0.36599420413786327,1.6804752281188011,1.9800000000000002,0.22000000000000003,0.22000000000000003,4.441029479534579,9.756407214005842,0.2,1.7999932188054923,1.7980885890780678,1.6862122724593867,2.0218818236510283,
